Task_ID,Project_ID,Employee_ID,Employee_Name,Task_Name,Assigned_Date,Due_Date,Completed_Date,Hours_Worked,Estimated_Hours,Task_Status,Task_Priority,Task_Type,Bug_Count,Rework_Hours,Is_Completed,Is_Late,Hours_Variance,Efficiency_Ratio,Project_Name,Project_Manager,Team_Name,Department,Project_Type,Start_Date,End_Date,Planned_End_Date,Status,Priority,Budget,Actual_Cost,Progress_%,Risk_Level,Client,Team_Size,Delay_Days,Cost_Variance,Cost_Variance_%,Is_Delayed,Is_Over_Budget
TSK000001,PRJ0001,EMP0554,Ira Kumar,Bug Fix task #2,2025-02-02,2025-02-08,,18.4,34.7,To Do,High,Code Review,0,0.0,False,False,-16.300000000000004,1.89,Cloud Migration - Healthcare Client C #1,Karthik Iyer,Pulsar,AI/ML,Cloud Migration,2024-11-25,2025-07-04,2025-07-06,Completed,Medium,261125.59,254767.08,100.0,High,Healthcare Client C,14,0,-6358.510000000009,-2.44,False,False
TSK000002,PRJ0001,EMP0356,Ananya Nair,Development task #3,2025-03-28,2025-04-01,2025-04-01,35.2,34.2,Completed,High,Design,0,0.0,True,False,1.0,0.97,Cloud Migration - Healthcare Client C #1,Karthik Iyer,Pulsar,AI/ML,Cloud Migration,2024-11-25,2025-07-04,2025-07-06,Completed,Medium,261125.59,254767.08,100.0,High,Healthcare Client C,14,0,-6358.510000000009,-2.44,False,False
TSK000003,PRJ0001,EMP0353,Aryan Menon,Bug Fix task #4,2025-02-06,2025-02-08,2025-02-06,34.6,30.3,Completed,Medium,Documentation,0,0.0,True,False,4.300000000000001,0.88,Cloud Migration - Healthcare Client C #1,Karthik Iyer,Pulsar,AI/ML,Cloud Migration,2024-11-25,2025-07-04,2025-07-06,Completed,Medium,261125.59,254767.08,100.0,High,Healthcare Client C,14,0,-6358.510000000009,-2.44,False,False
TSK000004,PRJ0001,EMP0008,Aditya Menon,Bug Fix task #5,2025-04-14,2025-04-29,,10.4,24.9,Blocked,Medium,Documentation,0,0.0,False,False,-14.499999999999998,2.39,Cloud Migration - Healthcare Client C #1,Karthik Iyer,Pulsar,AI/ML,Cloud Migration,2024-11-25,2025-07-04,2025-07-06,Completed,Medium,261125.59,254767.08,100.0,High,Healthcare Client C,14,0,-6358.510000000009,-2.44,False,False
TSK000005,PRJ0001,EMP0270,Aditya Gupta,Code Review task #6,2024-12-15,2024-12-24,2024-12-25,39.2,27.6,Completed,Medium,Code Review,0,0.0,True,True,11.600000000000001,0.7,Cloud Migration - Healthcare Client C #1,Karthik Iyer,Pulsar,AI/ML,Cloud Migration,2024-11-25,2025-07-04,2025-07-06,Completed,Medium,261125.59,254767.08,100.0,High,Healthcare Client C,14,0,-6358.510000000009,-2.44,False,False
TSK000006,PRJ0001,EMP0423,Dhruv Bose,Research task #7,2025-01-12,2025-01-19,2025-01-18,41.4,51.8,Completed,Low,Deployment,1,1.6,True,False,-10.399999999999999,1.25,Cloud Migration - Healthcare Client C #1,Karthik Iyer,Pulsar,AI/ML,Cloud Migration,2024-11-25,2025-07-04,2025-07-06,Completed,Medium,261125.59,254767.08,100.0,High,Healthcare Client C,14,0,-6358.510000000009,-2.44,False,False
TSK000007,PRJ0001,EMP0020,Diya Iyer,Research task #8,2025-01-02,2025-01-21,2025-01-23,10.7,6.8,Completed,High,Development,0,0.0,True,True,3.8999999999999995,0.64,Cloud Migration - Healthcare Client C #1,Karthik Iyer,Pulsar,AI/ML,Cloud Migration,2024-11-25,2025-07-04,2025-07-06,Completed,Medium,261125.59,254767.08,100.0,High,Healthcare Client C,14,0,-6358.510000000009,-2.44,False,False
TSK000008,PRJ0001,EMP0239,Meera Krishnan,Deployment task #9,2024-12-18,2025-01-04,2025-01-07,13.4,12.4,Completed,Medium,Development,0,0.0,True,True,1.0,0.93,Cloud Migration - Healthcare Client C #1,Karthik Iyer,Pulsar,AI/ML,Cloud Migration,2024-11-25,2025-07-04,2025-07-06,Completed,Medium,261125.59,254767.08,100.0,High,Healthcare Client C,14,0,-6358.510000000009,-2.44,False,False
TSK000009,PRJ0001,EMP0339,Vihaan Pillai,Documentation task #10,2024-12-15,2024-12-21,2024-12-23,71.6,51.2,Completed,Medium,Bug Fix,0,0.0,True,True,20.39999999999999,0.72,Cloud Migration - Healthcare Client C #1,Karthik Iyer,Pulsar,AI/ML,Cloud Migration,2024-11-25,2025-07-04,2025-07-06,Completed,Medium,261125.59,254767.08,100.0,High,Healthcare Client C,14,0,-6358.510000000009,-2.44,False,False
TSK000010,PRJ0001,EMP0013,Aryan Kapoor,Testing task #11,2024-12-26,2025-01-04,2025-01-09,92.4,58.6,Completed,High,Documentation,1,3.0,True,True,33.800000000000004,0.63,Cloud Migration - Healthcare Client C #1,Karthik Iyer,Pulsar,AI/ML,Cloud Migration,2024-11-25,2025-07-04,2025-07-06,Completed,Medium,261125.59,254767.08,100.0,High,Healthcare Client C,14,0,-6358.510000000009,-2.44,False,False
