Project_ID,Project_Name,Project_Manager,Team_Name,Department,Project_Type,Start_Date,End_Date,Planned_End_Date,Status,Priority,Budget,Actual_Cost,Progress_%,Risk_Level,Client,Team_Size
PRJ0001,Cloud Migration - Healthcare Client C #1,Karthik Iyer,Pulsar,AI/ML,Cloud Migration,2024-11-25,2025-07-04,2025-07-06,Completed,Medium,261125.59,254767.08,100.0,High,Healthcare Client C,14.0
PRJ0002,Data Pipeline - Logistics Client E #2,Ananya Rao,Zenith,Cloud Infrastructure,Data Pipeline,2023-04-03,2023-12-18,2023-12-21,Completed,High,59601.78,52236.9,100.0,Medium,Logistics Client E,7.0
PRJ0003,Cloud Migration - Retail Client B #3,Sneha Reddy,Quantum,AI/ML,Cloud Migration,2025-04-24,2025-09-23,2025-09-24,Completed,Medium,116823.8,110242.68,100.0,Low,Retail Client B,15.0
PRJ0004,API Integration - BFSI Client F #4,Aditya Verma,Comet,Data & Analytics,API Integration,2023-04-03,2023-11-14,2023-11-21,Completed,Low,11881.16,10974.83,100.0,Medium,BFSI Client F,9.0
PRJ0005,ML Model - Fintech Client A #5,Arjun Nair,Comet,Mobile Apps,ML Model,2024-04-27,2024-05-24,2024-06-02,Completed,High,256048.82,228977.66,100.0,Medium,Fintech Client A,12.0
PRJ0006,Mobile App - BFSI Client F #6,Neha Kapoor,Titan,QA & Testing,Mobile App,2023-05-24,2023-07-03,2023-07-04,Completed,Low,24001.16,21528.08,100.0,High,BFSI Client F,3.0
PRJ0007,Data Pipeline - BFSI Client F #7,Aditya Verma,Comet,Cloud Infrastructure,Data Pipeline,2024-02-29,2024-09-09,2024-09-13,Completed,High,80699.76,69122.84,100.0,Low,BFSI Client F,4.0
PRJ0008,API Integration - Logistics Client E #8,Rohit Sharma,Pulsar,Data & Analytics,API Integration,2023-03-04,2023-09-14,2023-07-13,Delayed,Medium,37559.18,40814.41,100.0,Low,Logistics Client E,7.0
PRJ0009,Data Pipeline - Healthcare Client C #9,Arjun Nair,Falcon,Engineering,Data Pipeline,2025-03-16,2025-09-03,2025-09-06,Completed,Medium,15468.2,14962.03,100.0,Low,Healthcare Client C,6.0
PRJ0010,Cloud Migration - Customer Platforms #10,Suresh Kumar,Nova,Customer Platforms,Cloud Migration,2025-05-29,2025-08-03,2025-08-04,Completed,Medium,67124.78,65930.73,100.0,,Internal,
PRJ0011,Web App - Logistics Client E #11,Suresh Kumar,Atlas,Customer Platforms,Web App,2023-06-28,2023-10-02,2023-10-03,Completed,High,11746.34,11736.16,100.0,Low,Logistics Client E,3.0
PRJ0012,ML Model - Govt Client G #12,Rohit Sharma,Nimbus,AI/ML,ML Model,2024-09-21,2024-10-24,2024-11-01,Completed,Medium,266199.09,242327.97,100.0,Low,Govt Client G,14.0
PRJ0013,Dashboard - Fintech Client A #13,Divya Pillai,Vega,Mobile Apps,Dashboard,2024-12-30,2025-12-09,2025-09-18,Delayed,Medium,26902.86,29844.24,100.0,High,Fintech Client A,10.0
PRJ0014,Internal Tool - Logistics Client E #14,Aditya Verma,Quantum,AI/ML,Internal Tool,2024-09-03,2025-02-14,2025-02-15,Completed,Medium,80048.18,80738.13,100.0,Low,Logistics Client E,7.0
PRJ0015,Internal Tool - Healthcare Client C #15,Aditya Verma,Quantum,Customer Platforms,Internal Tool,2024-04-07,2024-12-14,2024-12-20,Completed,High,63106.27,58890.64,100.0,Low,Healthcare Client C,6.0
PRJ0016,Dashboard - Retail Client B #16,Arjun Nair,Titan,QA & Testing,Dashboard,2023-03-10,2023-06-23,2023-05-02,Delayed,High,12577.17,17289.93,100.0,Medium,Retail Client B,4.0
PRJ0017,Internal Tool - Fintech Client A #17,Arjun Nair,Quantum,AI/ML,Internal Tool,2023-12-29,2024-09-07,2024-09-07,Completed,Low,294397.83,307257.05,100.0,High,Fintech Client A,13.0
PRJ0018,Dashboard - Retail Client B #18,Karthik Iyer,Quantum,AI/ML,Dashboard,2023-08-18,2024-04-19,2024-04-20,Completed,Critical,36210.49,36301.78,100.0,Medium,Retail Client B,4.0
PRJ0019,Cloud Migration - Customer Platforms #19,Suresh Kumar,Quantum,Customer Platforms,Cloud Migration,2023-01-30,2023-06-03,2023-04-16,Delayed,Medium,120134.5,143009.23,100.0,Low,Internal,7.0
PRJ0020,Web App - Retail Client B #20,Rohit Sharma,Vega,QA & Testing,Web App,2023-04-04,2023-11-06,2023-11-11,Completed,High,65428.62,57674.14,100.0,Low,Retail Client B,11.0
PRJ0021,Data Pipeline - AI/ML #21,Rohit Sharma,Nimbus,AI/ML,Data Pipeline,2023-06-11,2024-03-21,2024-01-20,Delayed,Low,25734.45,33835.02,100.0,Medium,Internal,12.0
PRJ0022,API Integration - Fintech Client A #22,Meera Krishnan,Atlas,Cloud Infrastructure,API Integration,2024-03-16,2024-05-05,2024-05-13,Completed,Low,116193.08,114267.36,100.0,High,Fintech Client A,7.0
PRJ0023,Cloud Migration - Healthcare Client C #23,Ananya Rao,Falcon,AI/ML,Cloud Migration,2023-08-05,2024-04-07,2024-03-18,Delayed,Medium,92878.5,97809.6,100.0,High,Healthcare Client C,5.0
PRJ0024,API Integration - Healthcare Client C #24,Aditya Verma,Quantum,Mobile Apps,API Integration,2023-03-15,2023-08-07,2023-07-24,Delayed,Medium,27621.33,38527.45,100.0,Medium,Healthcare Client C,14.0
PRJ0025,Mobile App - EdTech Client D #25,Divya Pillai,Comet,QA & Testing,Mobile App,2024-02-19,2024-03-18,2024-03-25,Completed,Medium,39624.67,40274.72,100.0,Low,EdTech Client D,8.0
PRJ0026,Internal Tool - BFSI Client F #26,Karthik Iyer,Orion,Customer Platforms,Internal Tool,2024-06-20,2024-08-06,2024-08-09,Completed,Critical,189198.55,173421.99,100.0,Medium,BFSI Client F,9.0
PRJ0027,API Integration - Healthcare Client C #27,Meera Krishnan,Quantum,Engineering,API Integration,2023-12-26,2024-08-21,2024-07-29,Delayed,Critical,256696.06,295813.28,100.0,High,Healthcare Client C,13.0
PRJ0028,Dashboard - Retail Client B #28,Rohit Sharma,Comet,Customer Platforms,Dashboard,2024-04-20,2024-11-20,2024-11-29,Completed,High,221726.09,216980.79,100.0,High,Retail Client B,12.0
