Task_ID,Project_ID,Employee_ID,Employee_Name,Task_Name,Assigned_Date,Due_Date,Completed_Date,Hours_Worked,Estimated_Hours,Task_Status,Task_Priority,Task_Type,Bug_Count,Rework_Hours,Is_Completed,Is_Late,Hours_Variance,Efficiency_Ratio
TSK000001,PRJ0001,EMP0554,Ira Kumar,Bug Fix task #2,2025-02-02,2025-02-08,,18.4,34.7,To Do,High,Code Review,0,0.0,False,False,-16.300000000000004,1.89
TSK000002,PRJ0001,EMP0356,Ananya Nair,Development task #3,2025-03-28,2025-04-01,2025-04-01,35.2,34.2,Completed,High,Design,0,0.0,True,False,1.0,0.97
TSK000003,PRJ0001,EMP0353,Aryan Menon,Bug Fix task #4,2025-02-06,2025-02-08,2025-02-06,34.6,30.3,Completed,Medium,Documentation,0,0.0,True,False,4.300000000000001,0.88
TSK000004,PRJ0001,EMP0008,Aditya Menon,Bug Fix task #5,2025-04-14,2025-04-29,,10.4,24.9,Blocked,Medium,Documentation,0,0.0,False,False,-14.499999999999998,2.39
TSK000005,PRJ0001,EMP0270,Aditya Gupta,Code Review task #6,2024-12-15,2024-12-24,2024-12-25,39.2,27.6,Completed,Medium,Code Review,0,0.0,True,True,11.600000000000001,0.7
TSK000006,PRJ0001,EMP0423,Dhruv Bose,Research task #7,2025-01-12,2025-01-19,2025-01-18,41.4,51.8,Completed,Low,Deployment,1,1.6,True,False,-10.399999999999999,1.25
TSK000007,PRJ0001,EMP0020,Diya Iyer,Research task #8,2025-01-02,2025-01-21,2025-01-23,10.7,6.8,Completed,High,Development,0,0.0,True,True,3.8999999999999995,0.64
TSK000008,PRJ0001,EMP0239,Meera Krishnan,Deployment task #9,2024-12-18,2025-01-04,2025-01-07,13.4,12.4,Completed,Medium,Development,0,0.0,True,True,1.0,0.93
TSK000009,PRJ0001,EMP0339,Vihaan Pillai,Documentation task #10,2024-12-15,2024-12-21,2024-12-23,71.6,51.2,Completed,Medium,Bug Fix,0,0.0,True,True,20.39999999999999,0.72
TSK000010,PRJ0001,EMP0013,Aryan Kapoor,Testing task #11,2024-12-26,2025-01-04,2025-01-09,92.4,58.6,Completed,High,Documentation,1,3.0,True,True,33.800000000000004,0.63
TSK000011,PRJ0001,EMP0485,Saanvi Krishnan,Testing task #12,2025-03-04,2025-03-15,,25.5,42.2,In Progress,Medium,Research,0,0.0,False,False,-16.700000000000003,1.65
TSK000012,PRJ0001,EMP0306,Ishaan Reddy,Design task #13,2025-01-14,2025-01-17,2025-01-20,21.7,24.2,Completed,Medium,Testing,1,2.1,True,True,-2.5,1.12
TSK000013,PRJ0001,EMP0406,Saanvi Das,Testing task #14,2025-06-15,2025-06-18,2025-06-17,23.3,17.6,Completed,Low,Design,0,0.0,True,False,5.699999999999999,0.76
TSK000014,PRJ0001,EMP0512,Navya Krishnan,Testing task #15,2024-12-18,2024-12-30,,6.3,42.4,To Do,Low,Research,1,0.9,False,False,-36.1,6.73
TSK000015,PRJ0001,EMP0239,Meera Krishnan,Design task #16,2025-02-14,2025-02-27,2025-03-01,64.6,59.0,Completed,Medium,Development,1,2.2,True,True,5.599999999999994,0.91
TSK000016,PRJ0001,EMP0497,Ira Sharma,Deployment task #17,2025-05-24,2025-06-04,2025-06-07,32.5,28.5,Completed,High,Research,0,0.0,True,True,4.0,0.88
TSK000017,PRJ0001,EMP0282,Veer Nair,Research task #18,2025-06-25,2025-07-14,2025-07-14,44.2,37.5,Completed,Low,Bug Fix,3,7.6,True,False,6.700000000000003,0.85
TSK000018,PRJ0001,EMP0190,Kabir Verma,Bug Fix task #19,2024-11-29,2024-12-12,2024-12-11,35.4,38.7,Completed,Low,Research,0,0.0,True,False,-3.3000000000000043,1.09
TSK000019,PRJ0001,EMP0565,Veer Sharma,Design task #20,2025-01-03,2025-01-15,2025-01-16,37.9,38.3,Completed,Low,Development,1,2.1,True,True,-0.3999999999999986,1.01
TSK000020,PRJ0001,EMP0207,Veer Singh,Code Review task #21,2024-12-22,2024-12-27,2024-12-27,39.9,31.2,Completed,Low,Deployment,1,1.7,True,False,8.7,0.78
TSK000021,PRJ0001,EMP0227,Shaurya Gupta,Research task #22,2025-04-29,2025-05-01,,27.6,44.2,In Progress,High,Development,0,0.0,False,False,-16.6,1.6
